ID	title	budget	revenu	nb_vote	moy_vote	runtime	release_date	homepage	prod	language	country	keyword	genre
8193	Napoleon Dynamite	400000.0	46118097.0	554	6.7	95.0	2004-06-11		Paramount Pictures|Fox Searchlight Pictures|MTV Films|Access Films|Napoleon Pictures Limited|Carnival Films	en	US	underdog|brother brother relationship|idaho|high school|chat|independent film|teenager|school dance|social outcast|aftercreditsstinger	Comedy
335874	Childless	0	0.0	2	4.5	90.0	2015-04-03			en	US		
8195	Ronin	55000000.0	41610884.0	658	6.7	122.0	1998-09-25		United Artists|FGM Entertainment	en	FR|GB|US	paris|france|arms deal|audi|impostor|case|violence|ice skating|computer expert|ex kgb|preparation|hit with a car door|cellular phone trace|merry go round	Action|Thriller|Crime|Adventure
16388	The Brothers McMullen	0.0	0.0	23	6.3	98.0	1995-08-09		Fox Searchlight Pictures	en	US	love|independent film|best friend|true love|irish catholic	Comedy|Drama|Romance
8197	Midnight in the Garden of Good and Evil	35000000.0	25105255.0	157	6.3	155.0	1997-11-21		Warner Bros.|Malpaso Company	en	US	drag queen|voodoo|savannah	Crime|Drama|Mystery|Thriller
8198	The Quiet American	30000000.0	27674124.0	81	6.4	101.0	2002-11-22		Miramax Films|Intermedia Films|Mirage Enterprises	en	US	terror|journalist|lover (female)|saigon|indochina	Drama|Action|Thriller|Romance
8202	Æon Flux	62000000.0	52304001.0	703	5.4	93.0	2005-11-30		Paramount Pictures|Lakeshore Entertainment|MTV Films|Colossal Pictures|Valhalla Motion Pictures|MTV Productions	en	US	martial arts|dystopia|surrealism|based on cartoon|shootout|espionage|infertility|cyberpunk|extreme violence|sabotage|one against many|woman director|hand to hand combat|action heroine|human cloning|25th century	Action|Science Fiction
11	Star Wars	11000000.0	775398007.0	6624	8.1	121.0	1977-05-25	http://www.starwars.com/films/star-wars-episode-iv-a-new-hope	Lucasfilm|Twentieth Century Fox Film Corporation	en	US	android|galaxy|hermit|death star|lightsaber|jedi|rescue mission|empire|rebellion|planet|smuggler|the force|space opera|galactic war|stormtrooper|totalitarianism	Adventure|Action|Science Fiction
8204	The Spiderwick Chronicles	90000000.0	162839667.0	572	6.3	95.0	2008-02-14		Paramount Pictures|The Kennedy/Marshall Company	en	US	brother sister relationship|family relationships|single mother|alternate reality|mother child relationship|hidden truth|goblin|magical creature|fairies	Adventure|Family|Fantasy
13	Forrest Gump	55000000.0	677945399.0	7927	8.2	142.0	1994-07-06		Paramount Pictures	en	US	vietnam veteran|hippie|mentally disabled|running|based on novel|vietnam|vietnam war|friendship|love|family relationships|bully|mother son relationship|military|hugging|shrimping|wounded soldier|flashback|park bench|amputee	Comedy|Drama|Romance
14	American Beauty	15000000.0	356296601.0	3313	7.9	122.0	1999-09-15	http://www.dreamworks.com/ab/	DreamWorks SKG|Jinks/Cohen Company	en	US	male nudity|female nudity|adultery|midlife crisis|coming out|first time|camcorder|virgin|nudity|film maker|estate agent|satire|loneliness|dark comedy|suburbia|coming of age|marijuana|exercise|parent child relationship|bittersweet|affair	Drama
1637	Speed	30000000.0	350448145.0	1783	6.8	116.0	1994-06-09		Twentieth Century Fox Film Corporation	en	US	bomb|airport|bus|bus ride|highway|bomb planting	Action|Adventure|Crime
16	Dancer in the Dark	12800000.0	40031879.0	377	7.6	140.0	2000-05-17		Fine Line Features|Zentropa Entertainments|Danmarks Radio (DR)|SVT Drama|Arte|Memfis Film|France 3 Cinéma|Angel films|TV 1000|Canal+|Constantin Film Produktion|Yleisradio (YLE)|Arte France Cinéma|Westdeutscher Rundfunk (WDR)|Blind Spot Pictures Oy|Vrijzinnig Protestantse Radio Omroep (VPRO)|Film4|Liberator Productions|Icelandic Film|Film i Väst|Pain Unlimited GmbH Filmproduktion|Trust Film Svenska|Cinematograph A/S|What Else? B.V|Filmek A/S|Lantia Cinema & Audiovisivi	en	AR|DK|FI|FR|DE|IS|IT|NL|NO|SE|GB|US	individual|dancing|usa|robbery|factory worker|secret|factory|small town|dance|blindness and impaired vision|death penalty|immigrant|eye operation|eyesight|fantasy|naivety|self-abandonment|hereditary disease|loss of eyesight|czech|dying and death|van|friendship|murder|teacher|debt|execution|crime|police officer	Drama|Crime|Music
378200	The Perfect Match	0.0	0.0	42	5.2	96.0	2016-03-11		Lionsgate|Jorva Entertainment Productions	en	US	bet|match|playboy|fear of commitment|best friend	Comedy|Romance
18	The Fifth Element	90000000.0	263920180.0	3885	7.3	126.0	1997-05-07		Columbia Pictures|Gaumont	en	FR	clone|taxi|cyborg|egypt|future|stowaway|space travel|race against time|arms dealer|love|alien|priest|end of the world|good vs evil|shootout|police chase|cab driver|new york city|space opera|military|opera singer|resort hotel|ancient astronaut|archeologist|ancient evil|cruise liner	Adventure|Fantasy|Action|Thriller|Science Fiction
19	Metropolis	92620000.0	650422.0	657	8.0	153.0	1927-01-10		Paramount Pictures|Universum Film (UFA)	de	DE	man vs machine|underground world|inventor|metropolis|worker|future|machine town|work|class society|dystopia|tower of babel|delirium|chase scene|mad scientist|prophet|robot|destruction|silent film|depravity|masterpiece|downtrodden|saviour	Drama|Science Fiction
20	My Life Without Me	0.0	9726954.0	77	7.2	106.0	2003-03-07	http://www.clubcultura.com/clubcine/clubcineastas/isabelcoixet/mividasinmi/index.htm	El Deseo|Milestone Productions	en	CA|ES	farewell|responsability|dying and death|night shift|daughter|secret love|mother daughter relationship|woman director	Drama|Romance
22	Pirates of the Caribbean: The Curse of the Black Pearl	140000000.0	655011224.0	6985	7.5	143.0	2003-07-09	http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html	Walt Disney Pictures|Jerry Bruckheimer Films	en	US	exotic island|blacksmith|east india trading company|gold|marriage proposal|mutiny|jamaica|skeleton|daughter|governor|wooden eye|gold coin|pirate|alcoholic|swashbuckler|caribbean|aftercreditsstinger|pirate ship|capuchin monkey|tortuga	Adventure|Fantasy|Action
24	Kill Bill: Vol. 1	30000000.0	180949000.0	4949	7.7	111.0	2003-10-10	http://www.miramax.com/movie/kill-bill-volume-1/	Miramax Films|A Band Apart|Super Cool ManChu	en	US	japan|coma|martial arts|kung fu|underworld|yakuza|sword|bride|revenge|gore|female yakuza|blood|wedding|samurai sword|part animation	Action|Crime
25	Jarhead	72000000.0	96889998.0	765	6.6	125.0	2005-11-04		Universal Pictures|Neal Street Productions|Red Wagon Entertainment|Motion Picture KAPPA Produktionsgesellschaft	en	DE|US	sniper|marine corps|saudi arabia|petrol|golf war|u.s. marine	Drama|War
122906	About Time	0.0	87100449.0	2067	7.8	123.0	2013-08-16		Working Title Films|Translux	en	GB	london england|father son relationship|time travel	Comedy|Drama|Science Fiction
28	Apocalypse Now	31500000.0	89460381.0	2055	8.0	153.0	1979-08-15	http://www.apocalypsenow.com	United Artists|Zoetrope Studios	en	US	guerrilla|river|vietnam|vietcong|cambodia|army|insanity|tribe|green beret|jungle|apocalypse|death|napalm	Drama|War
1370	Rambo III	63000000.0	189015611.0	690	5.7	102.0	1988-05-24		TriStar Pictures|Carolco Pictures	en	US	competition|submachine gun|soviet union|liberation|russian|soviet troops|thailand|freedom fighter|afghanistan|war on freedom|machinegun|mujahid|reality show|western|japanese food|soap opera	Action|Adventure|Thriller|War
9821	The Mighty	0.0	0.0	51	7.1	100.0	1998-10-23		Miramax Films	en	US	ohio|coming of age|disabled|learning disability|birth defect|suit of armor	Comedy|Drama
5	Four Rooms	4000000.0	4300000.0	530	6.5	98.0	1995-12-09		Miramax Films|A Band Apart	en	US	hotel|new year's eve|witch|bet|hotel room|sperm|los angeles|hoodlum|woman director|episode film	Crime|Comedy
8224	8MM	40000000.0	96618699.0	474	6.1	123.0	1999-02-26		Columbia Pictures Corporation|Hofflund/Polone|Global Entertainment Productions GmbH & Company Medien KG	en	US	pornography|porn actor|loss of daughter|child pornography|private investigator|subculture|private detective	Thriller|Crime|Mystery
33	Unforgiven	14000000.0	159157447.0	1113	7.7	131.0	1992-08-07		Malpaso Productions|Warner Bros.	en	US	prostitute|sheriff|bounty|regret|right and justice|revenge|mutilation|one last job|reputation|englishman	Western
22597	The Broken Hearts Club: A Romantic Comedy	1000000.0	1744858.0	25	6.3	94.0	2000-02-01			en	US	gay|roommate|male friendship|in vitro fertilisation|romantic comedy|lesbian relationship|gay relationship|gay interest	Comedy|Drama|Romance
35	The Simpsons Movie	75000000.0	527068851.0	2264	6.9	87.0	2007-07-25	http://www.simpsonsmovie.com/	Gracie Films|Twentieth Century Fox Film Corporation	en	US	father son relationship|lake|springfield|the simpsons|duff beer|garbage|pig|pollution|environmental protection agency|quarantine|alcoholism|love|alaska|dysfunctional family|dysfunctional marriage|ecology|saving lives|first love|duringcreditsstinger|donuts	Animation|Comedy|Family
122917	The Hobbit: The Battle of the Five Armies	250000000.0	956019788.0	4760	7.1	144.0	2014-12-10	http://www.thehobbit.com/	WingNut Films|New Line Cinema|Warner Bros. Pictures|3Foot7|Metro-Goldwyn-Mayer (MGM)	en	NZ|US	corruption|elves|dwarves|orcs|middle-earth (tolkien)|hobbit|dragon|battle|unlikely friendship|epic battle|sword and sorcery	Action|Adventure|Fantasy
38	Eternal Sunshine of the Spotless Mind	20000000.0	72258126.0	3652	7.9	108.0	2004-03-19	http://www.eternalsunshine.com	Anonymous Content|This Is That Productions|Focus Features	en	US	deja vu|regret|jealousy|amnesia|dream|operation|relationship problems|love|memory|brainwashing|relationship|heartbreak|nonlinear timeline|love story|bittersweet	Science Fiction|Drama|Romance
408429	Perfect Cowboy	200.0	0.0	1	5.0	109.0	2014-07-13			en			Drama
34099	Brave New Girl	0.0	0.0	3	3.7	120.0	2004-04-25		Lions Gate Television|Park Lane Productions	en	US	tv movie	Drama|Music|Family
218500	The Ballad of Gregorio Cortez	0.0	0.0	0	0.0	104.0	1983-08-19		Moctesuma Esparza Productions	en	US		Western
16428	Breakin' All the Rules	0.0	0.0	21	5.8	85.0	2004-05-14		Screen Gems|Breakup Productions	en	US	best selling author	Comedy|Romance
24621	Chasing Papi	0.0	6126237.0	16	6.3	80.0	2003-04-16		Fox 2000 Pictures	en	US	woman director	Comedy|Romance
101267	Katy Perry: Part of Me	12000000.0	32726956.0	85	6.5	93.0	2012-06-28	http://www.katyperry.com/movie/	Paramount Pictures|Imagine Entertainment|MTV Films|Insurge Pictures	en	US	woman director	Documentary|Music
41009	Perrier’s Bounty	0.0	0.0	24	5.1	88.0	2009-09-11	http://www.perriersbounty.ie/	Premiere Picture|Irish Film Board|Parallel Film Productions	en	IE|GB	suspense	Action|Comedy|Crime|Drama
84659	The Naked Ape	0.0	0.0	1	5.0	110.0	2006-09-16			en			Drama|Comedy|Family
98357	Broken City	56000000.0	19701164.0	593	5.7	109.0	2013-01-18	http://www.brokencitymovie.com/	Regency Enterprises|Inferno International|1984 Private Defense Contractors|Closest to the Hole Productions|New Regency Pictures|Emmett/Furla Films|Envision Entertainment Corporation|Black Bear Pictures|Leverage Communications	en	US	mayor|investigation|politics|ex-cop|revenge|double crossed|private detective	Thriller|Crime|Drama
32823	Get Him to the Greek	40000000.0	90029656.0	612	5.9	109.0	2010-06-04	http://www.gethimtothegreek.net/	Universal Pictures|Spyglass Entertainment|Relativity Media|Apatow Productions	en	US	aftercreditsstinger	Comedy
16441	The Beastmaster	0.0	14056528.0	97	6.0	118.0	1982-08-20		Antares Produzione Cinematografica|Metro-Goldwyn-Mayer (MGM)	en	US	sword fight|animal	Action|Fantasy
58	Pirates of the Caribbean: Dead Man's Chest	200000000.0	1065659812.0	5246	7.0	151.0	2006-06-20	http://disney.go.com/disneypictures/pirates/	Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions	en	JM|US|BS|DM	witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger	Adventure|Fantasy|Action
59	A History of Violence	32000000.0	60740827.0	832	6.9	96.0	2005-09-23		New Line Cinema|DC Comics|BenderSpink	en	US|CA|DE	robbery|double life|dual identity|small town|indiana|distrust|fight|self-defense|marriage|family relationships|mistaken identity|diner|lawyer|mobster|violence|attempted robbery	Drama|Thriller|Crime
62	2001: A Space Odyssey	10500000.0	68700000.0	2998	7.9	149.0	1968-04-10		Stanley Kubrick Productions|Metro-Goldwyn-Mayer (MGM)	en	US|GB	moon|jupiter|artificial intelligence|man vs machine|technology|super computer|human being|space travel|space mission|moon base|astronaut|evolution|monolith|space station	Science Fiction|Mystery|Adventure
16448	Waiting for Guffman	0.0	0.0	63	7.3	84.0	1996-01-31		Sony Pictures Classics|Castle Rock Entertainment|Pale Morning Dun|All Night Productions	en	US	missouri|independent film|mechanic|in the closet|mockumentary|improvisation|whispering|travel agent|amateur theater|dairy queen|alien contact|fake documentary|city council|wagon train|chinese restaurant|product licensing|hidden character	Music|Comedy
65	8 Mile	41000000.0	215000000.0	1626	6.8	110.0	2002-11-08	http://movies.uip.de/8mile/	Imagine Entertainment|Mikona Productions GmbH & Co. KG	en	US	individual|street gang|adolescence|rap music|hip-hop|rhyme battle|trailer park|ethnic stereotype|single|detroit|eminem	Drama
66	Absolute Power	50000000.0	50068310.0	223	6.4	121.0	1997-02-14		Columbia Pictures|Castle Rock Entertainment|Malpaso Productions	en	US	corruption|assassination|washington d.c.|rape|white house|usa president|daughter|government|suspense|secret service|secret service agent	Crime|Drama|Thriller
417859	Puss in Boots	130000000.0	554987477.0	451	6.4	90.0	2011-10-28		DreamWorks	en	US	adventure|fairy-tale figure	Action|Adventure|Animation|Family|Fantasy
68	Brazil	15000000.0	0.0	861	7.5	132.0	1985-02-20		Embassy International Pictures	en	GB	bureaucracy|police state|terror|great britain|dream|dystopia|government|anarchic comedy	Comedy|Science Fiction
69	Walk the Line	28000000.0	186438883.0	718	7.3	136.0	2005-09-13		Tree Line Films|Konrad Pictures|Catfish Productions|Fox 2000 Pictures|Mars Media Beteiligungs	en	DE|US	germany|prison|music record|adultery|country music|guitar|loss of brother|concert|marriage|single|accident|1960s	Drama|Music|Romance
70	Million Dollar Baby	30000000.0	216763646.0	2439	7.7	132.0	2004-12-15	http://www.milliondollarbaby-derfilm.de/	Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions	en	US	transporter|suicide attempt|strong woman|boxer|dying and death|stroke of fate|training|advancement|sport|female protagonist|boxing trainer|determination	Drama
71	Billy Elliot	5000000.0	110000000.0	750	7.4	110.0	2000-05-18		BBC Films|Tiger Aspect Productions|StudioCanal|Arts Council of England|Working Title Films|WT2 Productions	en	FR|GB	workers' quarter|dancing class|strike|northern england|scholarship|ballet	Drama|Comedy|Music
254024	The Face of an Angel	0.0	0.0	64	4.7	100.0	2014-09-06		Revolution Films|BBC Films|Cattleya|Vedette Finance|Multitrade|Ypsilon Films	en	IT|ES|GB	murder investigation	Thriller|Drama
12	Finding Nemo	94000000.0	940335536.0	6122	7.6	100.0	2003-05-30	http://movies.disney.com/finding-nemo	Pixar Animation Studios	en	US	father son relationship|harbor|underwater|fish tank|great barrier reef|missing child|aftercreditsstinger|duringcreditsstinger|short term memory loss|clownfish|father son reunion|protective father	Animation|Family
74	War of the Worlds	132000000.0	591739379.0	2322	6.2	116.0	2005-06-28		Paramount Pictures|DreamWorks SKG|Cruise/Wagner Productions|Amblin Entertainment	en	US	post traumatic stress  disorder|new jersey|airplane|dystopia|daughter|apocalypse|alien invasion|human subjugation	Adventure|Thriller|Science Fiction
75	Mars Attacks!	70000000.0	101371017.0	1509	6.1	106.0	1996-12-12	http://marsattacks.warnerbros.com/	Tim Burton Productions	en	US	saving the world|total destruction|white house|mars|usa president|cataclysm|lasergun|ambassador|congress|pest|flying saucer	Comedy|Fantasy|Science Fiction
76	Before Sunrise	2500000.0	5535405.0	959	7.7	105.0	1995-01-27		Detour Film Production	en	AT|CH|US	dialogue|sunrise|talking|soulmates|walking|austria|traveller|danube|bittersweet|romantic|vienna	Drama|Romance
77	Memento	9000000.0	39723096.0	4028	8.1	113.0	2000-10-11	http://www.otnemem.com/	Summit Entertainment|Newmarket Capital Group|Team Todd|I Remember Productions	en	US	individual|insulin|tattoo|waitress|amnesia|motel|insurance salesman|revenge|memory loss|polaroid|flashback|neo-noir	Mystery|Thriller
78	Blade Runner	28000000.0	33139618.0	3509	7.9	117.0	1982-06-25	http://www.warnerbros.com/blade-runner	Shaw Brothers|Warner Bros.|The Ladd Company	en	US|HK|GB	artificial intelligence|man vs machine|cyborg|bounty hunter|android|dystopia|genetics|fugitive|cyberpunk|los angeles|tech noir|neo-noir	Science Fiction|Drama|Thriller
79	Hero	31000000.0	177394432.0	635	7.2	99.0	2002-12-19		Beijing New Picture Film Co. Ltd.|China Film Co-Production Corporation	zh	CN	countryside|loss of lover|right and justice|patriot	Drama|Adventure|Action|History
8272	The Savages	0.0	0.0	110	6.8	114.0	2007-01-19	http://www.foxsearchlight.com/thesavages	Fox Searchlight Pictures|Ad Hominem Enterprises|This Is That Productions|Lone Star Film Group|Savage Productions	en	US	father son relationship|depression|parents kids relationship|brother sister relationship|professor|pflegeheim|professor for literature|son|brother|daughter|alzheimer|sister|relation|pflegen|alienation|independent film|domestic violence|writer|relationship|family|family feud|father figure|woman director	Drama
8273	American Wedding	55000000.0	231449203.0	1129	6.0	103.0	2003-08-01		Universal Pictures|Zide-Perry Productions|LivePlanet|Loumolo & Co.	en	US	handcuffs|sister sister relationship|spanner|blow job|stag night|wedding	Comedy|Romance
9571	Dazed and Confused	6900000.0	7993039.0	583	7.4	102.0	1993-09-24		Gramercy Pictures|Alphaville Productions|The Criterion Collection	en	US	1970s|texas|high school|comedy|coming of age|summer|teenager|period drama|great soundtrack	Comedy|Drama
85	Raiders of the Lost Ark	18000000.0	389925971.0	3854	7.7	115.0	1981-06-12	http://www.indianajones.com	Lucasfilm|Paramount Pictures	en	US	saving the world|riddle|nepal|himalaya|cairo|moses|egypt|whip|treasure|medallion|leather jacket|nazis|hat|mediterranean|ark of the covenant|ten commandments|treasure hunt|excavation|swastika|archaeologist|indiana jones|archeology 	Adventure|Action
24662	Cats Don't Dance	32000000.0	3566637.0	24	7.1	75.0	1997-03-26		Warner Bros. Pictures|David Kirschner Productions|Turner Feature Animation	en	US	dance|musical|furry|talking animal|anthropomorphism|hollywood|singing|acting|movies	Animation|Comedy|Family|Music
87	Indiana Jones and the Temple of Doom	28000000.0	333000000.0	2781	7.1	118.0	1984-05-23	http://www.indianajones.com	Lucasfilm|Paramount Pictures	en	US	riddle|treasure|heart|skeleton|treasure hunt|torture|violence|monkey|cult film|archaeologist|thuggee|conveyor belt|mine car|rope bridge|belching|child driving a car|eating brains|splits|indiana jones|archeology 	Adventure|Action
32856	Valentine's Day	52000000.0	216485654.0	1013	5.7	125.0	2010-02-10	http://www.valentinesdaymovie.com/	New Line Cinema|Karz Entertainment|Rice Films	en	US	flower|married couple|florist|kiss|single|valentine|valentine's day|multiple storylines|aftercreditsstinger|duringcreditsstinger	Comedy|Romance
89	Indiana Jones and the Last Crusade	48000000.0	474171806.0	3152	7.6	127.0	1989-05-24	http://www.indianajones.com/crusade	Lucasfilm|Paramount Pictures	en	US	saving the world|venice|holy grail|library|riddle|father son relationship|whip|treasure|nazis|entrapment|crusader|treasure hunt|escape|panzer|order of the templars|archaeologist|indiana jones|archeology 	Adventure|Action
90	Beverly Hills Cop	15000000.0	316360478.0	961	6.8	105.0	1984-11-29		Paramount Pictures|Eddie Murphy Productions	en	US	california|showdown|undercover|strip club|investigation|weapon|police|smuggling|swimming pool|gunfight|mansion|los angeles|foot chase|art gallery|car chase|warehouse|beverly hills|buddy comedy|country club|maverick cop|detroit michigan|damsel in distress|bar fight	Action|Comedy|Crime
8285	The Spirit	60000000.0	39031337.0	320	4.7	103.0	2008-12-25	http://www.mycityscreams.com/	DC Comics|Lionsgate|Odd Lot Entertainment|Media Magik Entertainment|Dark Lot Entertainment|Continental Entertainment Group (CEG)	en	US	secret identity|robber|mask|frog|based on comic strip|back from the dead	Action|Comedy|Thriller|Crime|Science Fiction
55	Amores perros	2000000.0	20908467.0	521	7.6	154.0	2000-06-16		Altavista Films|Zeta Film	es	MX	homeless person|mexico city|daughter|secret love|dogfight|money|dog|nonlinear timeline|multiple storylines|new mexican cinema	Drama|Thriller
95	Armageddon	140000000.0	553799566.0	2482	6.4	151.0	1998-07-01		Jerry Bruckheimer Films|Touchstone Pictures|Valhalla Motion Pictures	en	US	saving the world|paris|moon|cataclysm|asteroid|self sacrifice|nasa|space marine|loss of father|daughter|space|wedding|astronaut|eiffel tower paris|duringcreditsstinger|disaster movie|space centre	Action|Thriller|Science Fiction|Adventure
96	Beverly Hills Cop II	20000000.0	299965036.0	613	6.1	100.0	1987-05-18		Paramount Pictures|Eddie Murphy Productions|Don Simpson/Jerry Bruckheimer Films	en	US	smuggling of arms|detective|intensive care|undercover|strip club|armored car|investigation|police|swimming pool|sequel|shootout|gunfight|los angeles|explosion|violence|car chase|detroit|horse track|beverly hills|buddy cop|oil field|cement truck|playboy mansion|shooting range	Action|Comedy|Crime
16433	Grand Theft Parsons	0.0	0.0	11	6.0	88.0	2003-06-18			en		1970s|rock star|chase|musician|independent film	Crime|Comedy|Drama|Adventure
98	Gladiator	103000000.0	457640427.0	5439	7.9	155.0	2000-05-01		DreamWorks SKG|Universal Pictures|Scott Free Productions|Red Wagon Entertainment|Mill Film|C & L|Dawliz	en	GB|US	rome|gladiator|arena|senate|roman empire|emperor|slavery|battlefield|blood|ancient world|father daughter relationship|combat|mother son relationship|dream sequence|chariot|philosopher|barbarian horde|2nd century|successor	Action|Drama|Adventure
8291	Poetic Justice	14000000.0	27515786.0	47	6.9	109.0	1993-07-23	http://www.janetjackson.com	Columbia Pictures	en	US	loss of lover|sadness|los angeles|road movie	Drama|Romance
8292	Four Brothers	45000000.0	92374674.0	607	6.7	109.0	2005-08-11	http://fourbrothersmovie.com	Paramount Pictures|Di Bonaventura Pictures	en	US	brother brother relationship|robbery|arbitrary law|adoptive mother|revenge|murder|violence|detroit|duringcreditsstinger|interracial adoption	Action|Crime
9574	Flubber	80000000.0	177977226.0	695	5.3	93.0	1997-11-26		Walt Disney Pictures|Great Oaks Entertainment	en	US	wedding vows|inventor|slime|green|flight|mad scientist|wedding	Comedy|Family|Science Fiction
125490	Antiviral	2400000.0	0.0	112	5.7	110.0	2012-09-19	http://www.lucasclinic.com/	Alliance Films|Telefilm Canada|TF1 International	en	CA	injection|celebrity|satire|near future|metamorphosis|tech noir|virus|body horror	Science Fiction|Horror
103	Taxi Driver	1300000.0	28262574.0	2535	8.0	114.0	1976-02-07		Columbia Pictures Corporation|Italo/Judeo Productions|Bill/Phillips	en	US	vietnam veteran|taxi|obsession|drug dealer|night shift|vigilante|alienation|misanthrope|shot to death|illegal prostitution|loner	Crime|Drama
104	Run Lola Run	1530000.0	7267585.0	664	7.2	81.0	1998-08-20		X-Filme Creative Pool|Westdeutscher Rundfunk (WDR)	de	DE	berlin|casino|nun|red hair|running|homeless person|supermarket|ambulance|subway|daughter|money|fate	Action|Drama|Thriller
105	Back to the Future	19000000.0	381109762.0	6079	8.0	116.0	1985-07-03	http://www.backtothefuture.com/movies/backtothefuture1	Universal Pictures|Amblin Entertainment|U-Drive Productions	en	US	clock tower|car race|terrorist|delorean|lightning|guitar|plutonium|sports car|inventor|journey in the past|time travel|race against time|partner|misfit|mad scientist|fish out of water|teenage love|destiny|hidden identity|odd couple|escapade|disorder|chases and races|love and romance|teenage life|misfit partners|changing the past or future|getting home|inventions and discoveries	Adventure|Comedy|Science Fiction|Family
106	Predator	18000000.0	98235548.0	2093	7.3	107.0	1987-06-11		Twentieth Century Fox Film Corporation|Lawrence Gordon Productions|Davis Entertainment|Silver Pictures|Amercent Films|American Entertainment Partners L.P.	en	US	central and south america|predator|alien|stalking|invisible|commando|3d	Science Fiction|Action|Adventure|Thriller
107	Snatch	10000000.0	83557872.0	2912	7.7	103.0	2000-09-01		Columbia Pictures Corporation|Screen Gems|SKA Films	en	GB|US	gypsy|bare knuckle boxing|slang|trailer park|pig|sport|receiving of stolen goods|cockney accent|diamond|pikey	Thriller|Crime
24684	An Education	7500000.0	26096852.0	409	6.8	100.0	2009-10-29	http://www.sonyclassics.com/aneducation/	BBC Films	en	GB|US	adolescence|age difference|self-discovery|coming of age|love affair|youth|family|woman director|teaching the ways of the world|parents and children|love and romance|teenage life	Drama|Romance
549	Basquiat	2962051.0	3011195.0	94	6.6	108.0	1996-08-09		Miramax|Eleventh Street Production|Jon Kilik	en	US	new york|sex|drug abuse|homeless person|new love|drug addiction|overdose|graffiti|street art|vernissage|exhibit|friendship|independent film|drug|celebration	Drama|History
111	Scarface	25000000.0	65884703.0	2948	8.0	170.0	1983-12-08		Universal Pictures	en	US	miami|corruption|capitalism|cuba|prohibition|brother sister relationship|loss of sister|cocaine|cult film|bitterness	Action|Crime|Drama|Thriller
9576	Tootsie	21000000.0	177200000.0	421	6.9	116.0	1982-12-16		Columbia Pictures Corporation|Mirage Enterprises|Punch Productions|Delphi Films|The Criterion Collection	en	US	infidelity|love|friends|cross dressing|reputation|unemployed actor|serenade|hit in the crotch|apology|live television|actress|actor	Comedy|Romance
114	Pretty Woman	14000000.0	463000000.0	1746	7.0	119.0	1990-03-23		Touchstone Pictures|Silver Screen Partners IV	en	US	prostitute|capitalism|cinderella|expensive restaurant|sports car|workaholic|fire escape|friendship|los angeles|piano	Romance|Comedy
115	The Big Lebowski	15000000.0	46189568.0	2926	7.8	117.0	1998-03-06	http://www.biglebowskibluray.com/splash.php	Gramercy Pictures|PolyGram Filmed Entertainment|Working Title Films	en	GB|US	white russian|dude|bowling|vietnam veteran|carpet|nihilism|heart attack|kidnapping|lsd|marijuana|los angeles|millionaire|cowboy|ashes|impregnation|bowling team|unemployed|bowling ball|weeds	Comedy|Crime
116	Match Point	15000000.0	85306374.0	1105	7.3	124.0	2005-10-26		DreamWorks	en	IE|LU|RU|GB|US	love triangle|london england|upper class|adultery|tennis|river thames|love|wealth|lust|instructor|gold digger|social climbing|actress	Drama|Thriller|Crime|Romance
117	The Untouchables	25000000.0	76270454.0	1384	7.6	119.0	1987-06-02		Paramount Pictures	en	US	white suit|al capone|tough cop|treasury agent|untouchable|tax evasion|jury tampering|rule of law|rooftop chase|cutting face while shaving|1930s	Crime|Drama|History|Thriller
118	Charlie and the Chocolate Factory	150000000.0	474968763.0	3624	6.7	115.0	2005-07-13	https://www.warnerbros.com/charlie-and-chocolate-factory	Village Roadshow Pictures|The Zanuck Company|Warner Bros.|Tim Burton Productions|Plan B Entertainment|Theobald Film Productions	en	AU|GB|US	london england|father son relationship|chocolate|factory worker|based on novel|parents kids relationship|candy|overweight child|grandfather grandson relationship|teacher	Adventure|Comedy|Family|Fantasy
120	The Lord of the Rings: The Fellowship of the Ring	93000000.0	871368364.0	8705	8.0	178.0	2001-12-18	http://www.lordoftherings.net/	WingNut Films|New Line Cinema|The Saul Zaentz Company	en	NZ|US	elves|dwarves|orcs|middle-earth (tolkien)|hobbit|based on novel|mountains|fireworks|castle|volcano|password|death of a friend|uncle|mirror|wizard|sword and sorcery	Adventure|Fantasy|Action
